Stevie Nicks - 24 Karat Gold; 28/10/2020; 22:30:0; 60; 100; 12.990000; 6; 56
O Legado; 22/11/2020; 19:30:0; 120; 350; 12.990000; 4; 230
Rogue - Selvagem; 1/11/2020; 19:50:0; 120; 150; 12.990000; 5; 100
Black Water: Abismo; 13/11/2020; 18:30:0; 90; 500; 12.990000; 8; 450
A Liga dos Animais Fantasticos (VP); 22/11/2020; 19:30:0; 150; 200; 12.990000; 1; 135
A Liga dos Animais Fantasticos (VO); 22/11/2020; 18:30:0; 150; 200; 12.990000; 2; 96
Tenet; 22/11/2020; 19:30:0; 180; 600; 12.990000; 10; 600
Mae fora, Dia Santo em casa; 24/12/2020; 19:30:0; 120; 400; 12.990000; 3; 388
Em Furia; 18/12/2020; 15:0:0; 120; 300; 12.990000; 9; 164
Idiot Prayer - Nick Cave alone at Alexandra Palace; 23/12/2020; 21:30:0; 180; 200; 12.990000; 10; 200
La Casa de Papel; 11/11/2020; 19:30:0; 240; 300; 12.990000; 9; 300
Novo Evento; 27/11/2020; 18:20:0; 180; 100; 12.990000; 6; 100
